Site,Habitat,SSp,SG,CO,FHD,PlantDiversity,PDExp,StumpsTotal,StumpsTotalLog,DistForestEdge,DistFEdLog
Buyangu Hill,Primary Forest,12.06410256,7.371794872,6.4612,1.429828247,2.8361,17.04914405,145,2.161368002,100.3,2.001300933
Buyangu Pine,Secondary Forest,6.923076923,6.923076923,13.07,1.24783993,2.2151,9.162325298,1019,3.008174184,11.8,1.071882007
Colobus,Primary Forest,12.3525641,7.269230769,6.842,1.516151229,3.095,22.08723854,78,1.892094603,107.1,2.029789471
Ikuywa,Primary Forest,10.91666667,8.333333333,8.8064,1.388788698,3.0717,21.57855506,249,2.396199347,385.8,2.586362223
Ikuywa ExMo1,Exo Mon Plantation,6.923076923,6.769230769,8.372,1.330004424,0.606,1.833084377,331,2.519827994,829.8,2.91897343
Ikuywa ExMo2,Exo Mon Plantation,7.076923077,6.384615385,7.822,1.366905262,2.2098,9.113893432,219,2.340444115,804.5,2.905526048
Iloro,Ind Mon Plantation,10.46153846,9.076923077,9.1676,1.524292451,2.8764,17.75025709,567,2.753583059,1216.1,3.084969288
Isecheno A,Primary Forest,10.58333333,7.25,7.2184,1.474349449,3.0928,22.03870002,153,2.184691431,69.6,1.84260924
Isecheno B,Primary Forest,10.58333333,8,6.0288,1.500287817,2.6254,13.81009712,85,1.929418926,119.7,2.07809415
Isecheno ExMo,Exo Mon Plantation,6.076923077,6.230769231,7.7992,1.234726432,0.0745,1.077345344,1747,3.242292905,145.2,2.161966616
Isecheno IndMix1,Ind Mix Plantation,12.61538462,8.230769231,6.4432,1.563006978,2.5664,13.01887204,227,2.356025857,577.8,2.761777538
Isecheno IndMix2,Ind Mix Plantation,13,7.923076923,7.5068,1.5517867,2.4224,11.27288179,234,2.369215857,816.5,2.911956189
Kaimosi,Primary Forest,5.333333333,5.583333333,9.1192,1.372932397,2.4802,11.94365291,642,2.807535028,171,2.23299611
Kisaina IndMo1,Ind Mon Plantation,9.153846154,8.461538462,9.1184,1.381770194,2.5574,12.90222788,416,2.619093331,1594.4,3.202597286
Kisaina IndMo2,Ind Mon Plantation,10.53846154,8.769230769,8.2428,1.325141076,2.6868,14.6846099,368,2.565847819,1329.9,3.123818986
Kisere,Primary Forest,9.166666667,6.916666667,5.9336,1.47226839,2.8689,17.61762815,214,2.330413773,164,2.214843848
Lirhanda,Ind Mix Plantation,12.69230769,8.230769231,7.9128,1.399545364,2.9878,19.84198208,299,2.475671188,985.1,2.993480319
Litali,Primary Forest,13.23076923,7.692307692,8.2264,1.552619981,2.8859,17.91968806,346,2.539076099,122.7,2.088844563
Malava,Primary Forest,5.5,5.916666667,8.0096,1.355065682,3.0367,20.83636964,481,2.682145076,31.6,1.499687083
Salazar,Secondary Forest,4,5.846153846,7.0488,1.485793524,1.0575,2.879164074,261,2.416640507,57,1.755874856
Shianda,Secondary Forest,7.538461538,6.461538462,6.6144,1.309734475,2.3614,10.60578917,412,2.614897216,41,1.612783857
Yala,Primary Forest,9,6.666666667,7.712,1.575640819,2.6757,14.52251204,135,2.130333768,361.4,2.557988148